Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu)
3748224850.7655,50.1157150268555,10600.0024414062,-0.134216562612811,3.38619683452412E-5
3748224861.7055,50.1152324676514,10650.1362304688,-0.134840215868586,3.79148634036442E-5
3748224872.7295,50.1153869628906,10700.3784179688,-0.134562874922313,4.32663915141885E-5
3748224897.423,50.116283416748,10750.0263671875,,
3748224908.124,50.112865447998,10749.99609375,-0.127997533945908,5.43432195444448E-5
3748224918.66,50.1163139343262,10800.0473632813,-0.134288282759045,4.29688157179505E-5
3748224929.6085,50.1176147460937,10850.2841796875,-0.134176382421083,4.29249248782324E-5
3748224940.6785,50.1177062988281,10900.111328125,-0.13381005058949,3.25239402298773E-5
3748224951.6135,50.1170539855957,10950.2705078125,-0.133370389566974,5.18268090176553E-5
3748224962.636,50.1173458099365,11000.2890625,-0.13328206141522,3.50053698712176E-5
3748224973.596,50.1166954040527,11050.0131835938,-0.133107699308534,4.89308693549319E-5
3748224984.582,50.1164684295654,11100.3354492187,-0.13277489687734,4.20493742401517E-5
3748224995.5585,50.1165828704834,11149.9741210938,-0.13217083941169,3.24615543452484E-5
3748225007.609,50.1163196563721,11199.9604492187,-0.131871130506539,4.33821388425189E-5
3748225018.5645,50.1161155700684,11250.3061523438,-0.132543863832202,3.57451373858314E-5
3748225029.6185,50.1148376464844,11300.2143554688,-0.131982186882844,6.47737669666323E-5
3748225041.5265,50.1145324707031,11349.9282226562,-0.131674981132388,4.24853766658863E-5
3748225052.532,50.1182613372803,11400.255859375,-0.13170910175271,3.74818614661303E-5
3748225063.5465,50.1195945739746,11450.0185546875,-0.131598403967651,3.48256481643742E-5
3748225074.48,50.1172275543213,11500.3393554688,-0.131925952455122,6.21260753724143E-5
3748225086.4865,50.1154823303223,11549.9750976563,-0.130269860568095,4.0031827978268E-5
3748225097.4315,50.1150341033936,11600.0048828125,-0.131316987960036,1.92577253707058E-5
3748225109.5005,50.1142654418945,11650.0053710938,-0.130819544361187,2.51213298292276E-5
3748225120.4965,50.1141815185547,11699.8833007813,-0.130797305536867,4.17436548544699E-5
3748225131.5035,50.1141757965088,11750.0336914062,-0.130374010076383,5.17536670852075E-5
3748225143.461,50.1138458251953,11800.0151367188,-0.129622842090405,3.98872239826031E-5
3748225154.4505,50.113224029541,11850.2915039062,-0.130625307174669,5.23601851867394E-5
3748225166.407,50.1136779785156,11899.9389648438,-0.129995099774372,3.02747339447405E-5
3748225178.433,50.1135711669922,11950.0336914062,-0.129334011416672,3.32385709664583E-5
3748225190.39,50.1138229370117,12000.18359375,-0.129783409890103,3.62742292058066E-5
3748225201.4455,50.1133689880371,12050.1723632812,-0.129959820206956,3.64411991292641E-5
3748225213.4325,50.1128349304199,12100.0571289062,-0.128911495324183,4.27925457521154E-5
3748225224.4255,50.1134223937988,12150.20703125,-0.129276610394932,3.64558854679148E-5
3748225236.3985,50.1131114959717,12200.0732421875,-0.128970779813184,4.02138528207219E-5
3748225247.359,50.1135120391846,12250.4096679688,-0.129175417764638,5.13261047680111E-5
3748225258.4815,50.1141910552978,12300.4033203125,-0.128870600056133,4.69121850873015E-5
3748225269.3995,50.1128234863281,12350.01171875,-0.128562251529234,3.37294560365653E-5
3748225280.497,50.1133670806885,12400.181640625,-0.128825873013174,5.28390919870665E-5
3748225292.388,50.1130046844482,12449.9541015625,-0.127830687904038,4.58481636956227E-5
3748225303.3865,50.1126079559326,12500.19921875,-0.128288221505399,4.98301029305203E-5
3748225314.3455,50.1123180389404,12550.0654296875,-0.128515467140706,4.24671901830205E-5
3748225325.332,50.1132431030273,12599.97265625,-0.127603797006436,3.42019441731578E-5
3748225337.3305,50.1125335693359,12649.9428710938,-0.127471830493597,3.27212402092587E-5
3748225348.347,50.1123657226562,12700.3422851562,-0.127961320649541,2.98767754370458E-5
3748225359.299,50.1126823425293,12750.1650390625,-0.127977837043395,4.10399609238572E-5
3748225371.276,50.1127109527588,12800.0654296875,-0.127183872061774,4.70265130281857E-5
3748225383.298,50.1124134063721,12850.2983398438,-0.127469408178601,2.63751689869278E-5
3748225394.324,50.1118030548096,12900.0083007813,-0.127527004476703,3.64158086015583E-5
